rule_id,recommendation_id,rule_name,technology,metric_name,metric_collection_method,native_api_available,native_api_name,agent_required,agent_name,trend_days_required,rule_trigger,feasibility,savings_pct_typical,problem_severity,implementation_complexity,priority_score,savings_priority_rank,notes,
RL001,R001,VM CPU Rightsizing,EC2; Azure VM; GCE; OCI Compute,CPU Utilization % (avg); Peak CPU %; Memory Utilization % (opt.),Native API (CPU native; memory agent),Yes (CPU); No (memory),AWS: CloudWatch GetMetricStatistics namespace=AWS/EC2 MetricName=CPUUtilization | Azure: Monitor Metrics API metric=Percentage CPU | GCP: Cloud Monitoring compute.googleapis.com/instance/cpu/utilization | OCI: Monitoring API CpuUtilization,Optional,AWS: CloudWatch Agent for memory; GCP: Ops Agent for memory; Azure: Azure Monitor Agent for memory,14,Avg CPU < 40% AND peak CPU < 60% for 14 days → recommend next smaller instance type. Memory check if agent present.,Practical,10-40%,Top,Low,1,1,CPU available without agent on all CSPs. Memory requires agent. Start with CPU-only for quick wins.,
RL002,R002,Idle VM Detection,EC2; Azure VM; GCE; OCI Compute,CPU Utilization % (avg); Network In (bytes); Network Out (bytes),Native API,Yes,AWS: CloudWatch CPUUtilization + NetworkIn/NetworkOut namespace=AWS/EC2 | Azure: Percentage CPU + Network In/Out | GCP: cpu/utilization + network/received_bytes_count | OCI: CpuUtilization + NetworkBytesIn,No,,7,Avg CPU < 5% AND NetworkIn < 5 MB/hour for 7 consecutive days → STOP or TERMINATE recommendation.,Practical,High (100% idle),Top,Low,1,2,No agent needed. Pure native API metrics. Very reliable signal.,
RL003,R003,CSP Native Recommendation Ingestion,AWS Cost Optimization Hub; Azure Advisor; GCP Recommender; OCI Cloud Advisor,CSP pre-computed recommendation (savings amount; recommendation type; resource ID),CSP Recommender API,Yes,AWS: Cost Optimization Hub ListRecommendations API | Azure: Advisor Recommendations API GET /providers/Microsoft.Advisor/recommendations | GCP: Recommender API projects/{}/locations/{}/recommenders/google.compute.instance.MachineTypeRecommender/recommendations | OCI: Cloud Advisor API listRecommendations,No,,1,CSP recommendation exists for resource. Surface; normalize and deduplicate against R001/R002.,Practical,High,Top,Low,1,3,API passthrough. No computation needed. Highest confidence recommendations from CSP ML.,
RL004,R004,Burstable Instance Eligibility,EC2 T-family; Azure B-series; GCP E2 shared-core,CPU Utilization % (avg; max over 14 days); CPU Credit Balance (AWS),Native API,Yes,AWS: CloudWatch CPUUtilization + CPUCreditBalance + CPUSurplusCreditsCharged | Azure: Monitor Percentage CPU | GCP: cpu/utilization,No,,14,Avg CPU < 10% AND max CPU < 40% for 14 days AND current instance not already burstable AND CPU credit balance always positive → recommend burstable equivalent.,Practical,Up to 40%,High,Medium,2,7,AWS: CPUCreditBalance ensures workload fits burstable baseline. Important to check credit consumption before recommendation.,
RL005,R005,AWS RI and Savings Plan Coverage Analysis,AWS EC2; RDS; ElastiCache; Redshift; OpenSearch; Lambda; SageMaker,On-demand usage hours; Covered hours (RI/SP); On-demand spend by instance family,CSP Billing API,Yes,AWS: Cost Explorer GetReservationCoverage API | Cost Explorer GetSavingsPlansCoverage API | Cost Optimization Hub ListRecommendations (type=SavingsPlans),No,,30,Coverage < 80% for eligible instance family for 30 days → recommend RI or Savings Plan purchase. Savings = (on-demand rate − committed rate) × eligible hours.,Practical,30-72%,Top,Medium,1,4,Use Cost Explorer API for coverage data. GetRightsizingRecommendation for instance-level. Both free.,
RL006,R006,GCP CUD Recommendation Ingestion,GCP Compute Engine VMs; GCP Cloud SQL,On-demand vCPU hours; Memory hours by machine family; GCP pre-computed CUD recommendation,CSP Recommender API,Yes,GCP: Recommender API projects/{project}/locations/{region}/recommenders/google.compute.commitment.UsageCommitmentRecommender/recommendations,No,,30,GCP CUD recommendation exists for machine family. Surface recommended commitment type and savings.,Practical,30-57%,Top,Medium,1,5,GCP Recommender API returns pre-computed CUD recommendations. Normalize to common savings format.,
RL007,R007,Azure Reservation Coverage Analysis,Azure VM; Azure SQL; Azure Cosmos DB; Azure App Service,On-demand usage hours; Reserved hours; Coverage % by VM family,CSP Billing API,Yes,Azure: Consumption API GET /providers/Microsoft.Consumption/reservationSummaries | Reservations API | Advisor Recommendations API (RecommendationTypeId=BuyReservation),No,,30,Azure reservation coverage < 70% for eligible VM family for 30 days → recommend reservation purchase.,Practical,30-72%,Top,Medium,1,6,Azure Advisor Reservations tab provides pre-computed recommendations. Also computable from Consumption API.,
RL008,R008,OCI Reserved Capacity Analysis,OCI Compute; OCI Universal Credits,On-demand OCPU hours; OCI FinOps Hub usage data,CSP Billing API,Yes,OCI: Cost Management API usageSummary | OCI FinOps Hub recommendations,No,,30,On-demand OCI compute spend > $500/month for 30 days → recommend reserved capacity or Universal Credits.,Practical,30-50%,Top,Medium,2,8,OCI FinOps Hub provides recommendations natively.,
RL009,R009,Azure App Service Plan CPU,Azure App Service Plan,CPU Percentage; Memory Percentage; HTTP Request Rate,Native API,Yes,Azure Monitor Metrics API: CpuPercentage; MemoryPercentage; HttpResponseTime on App Service Plan namespace,No,,7,Avg CPU < 30% AND memory < 50% for 7 days → recommend lower SKU tier (e.g. P3v3 → P2v3 → P1v3).,Practical,10-40%,High,Low,2,9,,
RL010,R010,Azure App Service Plan Empty,Azure App Service Plan,Instance count; HTTP Request Rate; App count in plan,Native API,Yes,Azure Resource Manager API: GET /subscriptions/{}/resourceGroups/{}/providers/Microsoft.Web/serverfarms | Azure Monitor: RequestsPerSecond,No,,7,App count = 0 OR total HTTP requests = 0 for 7 days → recommend plan deletion.,Practical,100%,High,Low,2,10,,
