id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails,recommendation_definition,expected_benefits,configurator_showcase,advisory_source,advisory_id,advisory_layer
BR-0001,"Idle VM shutdown (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for AWS Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0002,"Idle VM shutdown (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for AWS Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0003,"Idle VM shutdown (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for Azure Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0004,"Idle VM shutdown (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for Azure Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0005,"Idle VM shutdown (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for GCP Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0006,"Idle VM shutdown (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for GCP Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0007,"Idle VM shutdown (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for SaaS Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0008,"Idle VM shutdown (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for SaaS Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0009,"Idle VM shutdown (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for FinOps Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0010,"Idle VM shutdown (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval,"Idle VM shutdown identifies idle resources that can be stopped, scaled to zero, or retired after owner approval for FinOps Compute / VM using avg_cpu_pct;p95_network_out_mbps;disk_iops over a 14d lookback.",Eliminates avoidable run-rate spend while preserving rollback and production suppression guardrails. Expected value: Very High; implementation complexity: Low.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
