recommendation_id,recommendation_name,recommendation_type,category,subcategory,technology,description,business_impact,estimated_savings_notes,feasibility,feasibility_notes,performance_gain_type,performance_gain_parameter,csp_aws,csp_azure,csp_gcp,csp_oci,saas_finops,saas_flexera,saas_apptio,saas_harness,saas_datadog,saas_cloudhealth,savings_pct_typical,problem_severity,implementation_complexity,priority_notes,remarks,documentation_link,
R001,VM / EC2 Instance Rightsizing,cost_saving,Compute,Virtual Machine,EC2; Azure VM; GCE; OCI Compute,Right-size overprovisioned VMs based on CPU and memory utilization over a rolling window. Suggests moving to smaller instance type or family.,Eliminating over-provisioning is the single largest cost-saving lever across all cloud customers. Typical bill impact 10-40% of compute spend.,(On-demand cost of current instance − cost of recommended instance) × running hours. Triggered when avg CPU < 40% and peak CPU < 60% for 14 days.,Practical,CPU available natively; memory requires agent on all CSPs.,,,Yes – native (Compute Optimizer),Yes – native (Azure Advisor),Yes – native (GCP Recommender),Yes – native (OCI Cloud Advisor),Yes,Yes,Yes,Yes,Yes,Yes,10-40%,Top,Low,Highest ROI advisory. Build first. Deduplicate with R002 (idle).,,,
R002,Idle Compute Instance,cost_saving,Compute,Virtual Machine,EC2; Azure VM; GCE; OCI Compute,Identify instances with negligible CPU and network I/O over a sustained period. Recommend stop or terminate.,100% of instance cost recovered when stopped. Critical for dev/test environments that run 24/7 unnecessarily.,Savings = hourly rate × idle hours. Triggered: avg CPU < 5% AND network < 5 MB/h for 7 consecutive days.,Practical,CPU and network metrics available natively on all CSPs without agent.,,,Yes – native (Cost Optimizer),Yes – native (Azure Advisor),Yes – native (VM Idle Recommender),Yes – native (OCI Cloud Advisor),Yes,Yes,Yes,Yes,Yes,Yes,High (100% idle),Top,Low,Very common problem especially in non-prod. Easy to flag.,,,
R003,CSP-Native Idle Delete Recommendation,cost_saving,Compute,Virtual Machine,AWS Cost Optimization Hub; Azure Advisor; GCP VM Rightsizing Recommender; OCI Cloud Advisor,Consume and surface the pre-computed idle/delete recommendation from the CSP's own recommendation engine. Complements FinOps's own detection (R002).,Zero additional computation cost. CSP already identified the resource. Acts as safety net and cross-validation.,CSP pre-computes savings. Surface and normalize. Trigger: CSP recommendation exists for resource.,Practical,CSP Recommendation APIs return pre-calculated savings.,,,Yes – Cost Optimization Hub API,Yes – Advisor Recommendations API,Yes – GCP Recommender API,Yes – OCI Cloud Advisor API,Yes,Yes,Yes,Yes,Yes,Yes,High,Top,Low,Consume CSP recommendation API. Deduplicate against R001 and R002.,,,
R004,Burstable / Flexible Instance Type Migration,cost_saving,Compute,Virtual Machine,EC2 T-family; Azure B-series VMs; GCP E2 shared-core; OCI Burstable,Recommend migrating standard instance to burstable (T/B-series) when sustained CPU is consistently low and variable. CPU credits provide burst capacity.,Up to 40% cheaper than standard equivalent. Significant for workloads that spike briefly but run low most of the time.,Eligible if avg CPU < 10% with peak CPU < 40% for 14 days. Savings = (std price − burstable price) × hours.,Practical,CPU utilization available natively. Baseline credit consumption needs modelling.,,,Yes,Yes,No,No – OCI has Flex shapes,Yes,Yes,Yes,Partial,Partial,Yes,Up to 40%,High,Medium,Good second-order saving after rightsizing. Requires instance type eligibility check.,,,
R005,Reserved Instance / Savings Plan (AWS),cost_saving,Compute,Commitment Discounts,AWS EC2 RI; AWS Compute Savings Plans; AWS EC2 Instance Savings Plans; AWS SageMaker SP,Purchase AWS RI or Savings Plans for on-demand workloads running >500 h/month. AWS recommends based on 7/30/60-day lookback.,30-72% discount vs on-demand. Single largest % saving for steady workloads.,`Coverage < 80%` for eligible instance family over 30 days. Savings = (on-demand rate − committed rate) × eligible hours.,Practical,Uses AWS Cost and Usage Report (CUR) and Cost Explorer API.,,,Yes – Cost Explorer API / Cost Optimization Hub,Partial – Azure has R007,Partial – GCP has R006,Partial – OCI has R008,Yes,Yes,Yes,Yes,Partial,Yes,30-72%,Top,Medium,Build RI/SP coverage analysis as highest-priority advisory for AWS.,,https://docs.aws.amazon.com/cost-management/latest/userguide/ri-recommendations.html,
R006,GCP Committed Use Discounts (CUD),cost_saving,Compute,Commitment Discounts,GCP Compute Engine CUDs; GCP Cloud SQL CUDs,GCP resource-based 1-year or 3-year commitments for Compute Engine vCPUs and memory. CUDs auto-apply to eligible usage.,Up to 57% discount vs on-demand. Applies automatically once committed.,`On-demand spend > $X for eligible machine types for 30+ days`. Uses GCP CUD Recommender API.,Practical,GCP Recommender API returns pre-computed CUD recommendations.,,,No,Partial – AWS has R005,Yes,No,Yes,Yes,Yes,Partial,Partial,Yes,30-57%,Top,Medium,GCP-specific. Consume GCP CUD Recommender API.,,https://cloud.google.com/docs/cuds-recommender,
R007,Azure Reserved Instances / Savings Plans,cost_saving,Compute,Commitment Discounts,Azure Reserved VM Instances; Azure Savings Plans; Azure SQL RI; Azure Cosmos DB RI,Azure reservation or Savings Plan for consistent Azure VM / SQL / Cosmos / App Service usage. 1 or 3 year.,Up to 72% savings vs pay-as-you-go.,`Coverage < 80%` for eligible VM family for 30 days. Uses Azure Consumption API + Reservations API.,Practical,Azure Billing / Consumption API provides coverage and recommendations natively.,,,Partial – AWS has R005,Yes – Azure Advisor Reservations tab,Partial – GCP has R006,No,Yes,Yes,Yes,Yes,Partial,Yes,30-72%,Top,Medium,Azure-specific. Advisor provides recommendations; also computable from usage data.,,https://learn.microsoft.com/en-us/azure/cost-management-billing/reservations/,
R008,OCI Reserved Capacity / Universal Credits,cost_saving,Compute,Commitment Discounts,OCI Reserved Compute; OCI Universal Credits; OCI Flex shapes,Commit to OCI Universal Credits or reserved capacity for predictable workloads.,Predictable pricing; discount vs PAYG.,OCI FinOps Hub and usage analysis. Trigger: on-demand spend > threshold for 30+ days.,Practical,OCI Cost Management / FinOps Hub API.,,,No,No,No,Yes – OCI FinOps Hub,Yes,Yes,Yes,Partial,Partial,Yes,30-50%,Top,Medium,OCI-specific.,,https://docs.oracle.com/en-us/iaas/Content/Billing/Concepts/FinOps.htm,
R009,Azure App Service Plan Right-Sizing,cost_saving,Compute,PaaS Service,Azure App Service Plan (Basic; Standard; Premium),Downsize underutilized Azure App Service Plan to cheaper SKU. Azure Advisor analyses CPU/memory over 7 days.,App Service plans often over-provisioned. Savings = (current tier − recommended tier) × hours.,`Avg CPU < 30%` and memory utilization low for 7 days. Use Azure Monitor App Service metrics.,Practical,Azure Monitor provides App Service metrics natively (no agent).,,,No,Yes – Azure Advisor,No,No,Yes,Yes,Yes,Yes,Partial,Yes,10-40%,High,Low,Azure-specific.,,,
R010,Unused / Empty Azure App Service Plan,cost_saving,Compute,PaaS Service,Azure App Service Plan,Delete idle Azure App Service plans with no apps deployed or zero traffic.,100% of plan cost recovered.,Zero requests/deployments for 7+ days. Use Azure Resource Manager + Monitor metrics.,Practical,Azure ARM API list apps per plan; Monitor for request count.,,,No,Yes – Azure Advisor,No,No,Yes,Yes,Yes,Yes,Partial,Yes,100%,High,Low,Azure-specific.,,,
R011,Abandoned PaaS Workloads,cost_saving,Compute,PaaS Service,AWS Lambda (idle); Azure App Service (idle); Azure Functions; GCP Cloud Functions,Identify PaaS resources with zero or negligible invocations/requests for 14+ days.,Prevents paying for idle PaaS capacity. Cost = full plan/provisioned cost when idle.,Invocation count or request count = 0 for 14 days. Use CSP usage/metrics APIs.,Practical,CSP-native metrics for invocations and request count available natively.,,,Yes,Yes,Yes,Yes,Yes – native (Cloud Functions metrics),No – OCI limited PaaS,Yes,Yes,Yes,Yes,Yes,Yes,Variable (100% idle),High,Medium,Broader category; use per-service rules. High value when found.,
R012,Lambda / Cloud Functions Right-Sizing,cost_saving,Compute,Serverless,AWS Lambda; GCP Cloud Functions; Azure Functions,Right-size serverless function memory allocation. Over-allocated memory increases cost per invocation. Also flag over-provisioned concurrency.,10-50% reduction in Lambda cost. Memory is the primary billing lever.,Memory usage < 50% of allocated for 7 days AND P99 duration not hitting timeout. Also: provisioned concurrency used < 60%.,Practical,AWS Lambda Cloudwatch metrics (Duration; MemorySize; ConcurrentExecutions) native. GCP/Azure similar.,,,Yes,Yes – Functions Insights,Yes – GCP Monitoring native,No – OCI Functions limited,Yes,Yes,Yes,Yes,Yes,Yes,10-50%,High,Medium,AWS Lambda-native metrics. Strong value.,,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics.html,
R013,ECS Fargate Task Right-Sizing,cost_saving,Container,Container,AWS ECS Fargate; AWS ECS on EC2,Right-size Fargate task CPU and memory definitions based on actual container resource usage.,Fargate is billed by vCPU and memory. Over-definition wastes directly.,`Used vCPU < 50% of defined AND used memory < 60% of defined` for 7 days. Container Insights required.,Practical,Requires AWS CloudWatch Container Insights enabled (agent in task definition).,,,Yes – Container Insights,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10-30%,High,Medium,Requires Container Insights. Worth the agent investment.,Container Insights must be enabled per cluster.,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/ContainerInsights.html,
R014,Kubernetes Pod / Container Rightsizing,cost_saving,Container,Container,Kubernetes (EKS; AKS; GKE); any K8s cluster,Right-size Kubernetes pod CPU and memory requests/limits based on actual consumption. Reduce cluster cost by allowing better bin-packing.,10-30% cluster cost reduction. Over-requested resources block scheduling of other pods; wasted node capacity.,`Avg CPU request usage < 50% of request setting` for 7 days OR memory usage < 60% of limit for 7 days. K8s Metrics Server required.,Practical,Kubernetes Metrics Server (must be deployed; not default). Alternatively: Prometheus; CloudWatch Container Insights; Azure Monitor for Containers; GCP Monitoring.,,,Yes – EKS (Metrics Server or Container Insights),Yes – AKS (Azure Monitor for Containers),Yes – GKE (GKE Monitoring; Metrics Server),Partial – OCI OKE,Yes,Yes,Yes,Yes,Yes,Yes,10-30%,High,Medium,Strong opportunity. Metrics Server / Prometheus needed.,Requires Kubernetes Metrics Server or equivalent agent.,,
R015,Kubernetes Node Pool / Cluster Right-Sizing,cost_saving,Container,Cluster,Kubernetes Node Pools (EKS node groups; AKS node pools; GKE node pools),Right-size node pool instance type or min/max node count when cluster capacity significantly exceeds workload demand.,10-25% cluster cost. Over-sized node pools increase base cost for every workload on the cluster.,Node-level: `allocatable CPU used < 60%` across node pool for 7 days. Cluster Autoscaler logs show 0 scale-out events.,Practical,Kubernetes API (node resource usage). Metrics Server or Cluster Autoscaler logs. Cluster API (DescribeNodeGroup / ListNodePools).,,,Yes – EKS + CloudWatch Container Insights,Yes – AKS + Azure Monitor,Yes – GKE Monitoring,Partial,Yes,Yes,Yes,Yes,Yes,Yes,10-25%,High,High,Complex; architecture impact. High value for large clusters.,Node pool changes require managed node group update or cluster modification.,,
R016,Idle / Orphaned Kubernetes Cluster,cost_saving,Container,Cluster,GKE; AKS; EKS; OKE,Stop or delete Kubernetes clusters with no running workloads for 7+ days.,100% of cluster control plane and node cost.,No pods running (except system) for 7+ days. Cluster API shows 0 user workloads.,Practical,Kubernetes API (pod list). CSP cluster list API. GKE has native idle recommender.,,,Yes – EKS (via CloudWatch + K8s API),Yes – AKS (via Azure Monitor + K8s API),Yes – GKE Idle Cluster Recommender (native),Partial – OCI OKE,Yes,Yes,Yes,Yes,Yes,Yes,High,High,Medium,GKE has native recommendation. Others require K8s API check.,,,
R017,AWS SageMaker Savings Plan,cost_saving,Compute,ML/AI,AWS SageMaker (Training; Hosting; Processing),Purchase SageMaker Savings Plans for consistent ML training and inference workloads.,30-50% vs on-demand SageMaker spend.,On-demand SageMaker spend > $500/month for 30 days. Use Cost Explorer SageMaker SP recommendation API.,Practical,AWS Cost Explorer API provides SageMaker SP recommendations natively.,,,Yes – Cost Explorer SP API,No,No,No,Yes,Yes,Yes,Partial,Partial,Yes,30-50%,Medium,Medium,AWS-specific. High value when ML workloads are large.,,,
R018,Orphaned / Unattached Disk,cost_saving,Storage,Disk,AWS EBS; Azure Managed Disk; GCP Persistent Disk; OCI Block Volume,Disks not attached to any running VM for 30+ days. No data I/O. Recommend snapshot + delete.,5-15% of total storage bill. Accumulates silently. Very common in scale-out environments.,`State = unattached AND age > 30 days`. Use CSP disk list API.,Practical,Native CSP Inventory / Compute APIs return attachment status and creation date. No agent.,,,Yes – EC2 DescribeVolumes (state=available),Yes – Azure Managed Disks API (diskState=Unattached),Yes – GCP Compute Disks API (status=READY; no user),Yes – OCI ListVolumes (lifecycleState=AVAILABLE; no attachment),Yes,Yes,Yes,Yes,Yes,Yes,5-15% storage,Top,Low,Quick win. High precision. No false positives.,Save a snapshot before recommending deletion.,,
R019,Orphaned OCI Boot Volume,cost_saving,Storage,Disk,OCI Boot Volume,OCI boot volumes detached from instances and not reattached for 30+ days.,Same as R018 for OCI; OCI keeps boot volumes after instance termination by default.,OCI ListBootVolumes API: lifecycle=AVAILABLE with no attachment. 30+ days.,Practical,OCI ListBootVolumes + ListBootVolumeAttachments API.,,,No,No,No,Yes – OCI Boot Volume API,Yes,Yes,Yes,Partial,Partial,Yes,5-15%,High,Low,OCI-specific. Very common post instance termination.,,,
R020,EBS Volume Type Optimization,cost_saving,Storage,Disk,AWS EBS (gp2 → gp3; io1/io2 over-provisioned IOPS),Migrate gp2 volumes to gp3 (20% cheaper; better baseline performance). Flag io1/io2 volumes where provisioned IOPS > 3x actual IOPS usage.,gp2 → gp3 migration is free and saves ~20% for most volumes. io1/io2 IOPS reduction saves proportionally.,Trigger: volume type = gp2 (always eligible for gp3 review). For io1/io2: provisioned IOPS > 3x avg actual IOPS for 30 days.,Practical,AWS EC2 DescribeVolumes API (type; size; IOPS). CloudWatch VolumeReadOps/VolumeWriteOps for actual IOPS (no agent needed).,,,Yes – EC2 DescribeVolumes + CloudWatch,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,10-20%,High,Low,AWS-specific. gp2→gp3 is a no-brainer; low risk.,All gp2 volumes should be flagged for review; gp3 migration is reversible.,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-volume-types.html,
R021,Old Snapshots and Custom Images,cost_saving,Storage,Snapshots & Images,AWS Snapshots/AMIs; Azure Snapshots/Images; GCP Disk Snapshots/Images; OCI Boot/Block Volume Snapshots,Snapshots or machine images older than retention policy with no active dependency (no AMI-backed instance; no restore in 90 days).,5-20% of storage bill. Snapshots are incremental but old generation chains are costly.,`Age > 90 days AND no dependency`. Check if AMI is registered from snapshot before deleting. Use CSP snapshot list APIs.,Practical,Native snapshot list APIs on all CSPs return creation date and size. Dependency check via AMI → Snapshot mapping (AWS) or disk snapshot usage (Azure/GCP).,,,Yes – EC2 DescribeSnapshots + DescribeImages,Yes – Azure Disk Snapshots API,Yes – GCP Compute Images/Snapshots API,Yes – OCI ListVolumeBackups,Yes,Yes,Yes,Yes,Yes,Yes,5-20% storage,High,Medium,Dependency check is the key engineering challenge. Build carefully.,Dependency check critical to avoid breaking AMIs or restore points.,,
