id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails
BR-0001,"Idle VM shutdown (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed
BR-0002,"Idle VM shutdown (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0003,"Idle VM shutdown (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed
BR-0004,"Idle VM shutdown (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0005,"Idle VM shutdown (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed
BR-0006,"Idle VM shutdown (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0007,"Idle VM shutdown (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed
BR-0008,"Idle VM shutdown (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0009,"Idle VM shutdown (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; baseline threshold as listed
BR-0010,"Idle VM shutdown (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Low,avg_cpu_pct;p95_network_out_mbps;disk_iops,avg_cpu_pct<5%;p95_network_out<0.1Mbps;disk_iops<5; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Cloudability;Densify,source sku hourly rate; region; os; vcpu; memory,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Suppress prod tier-0 unless manually allowed; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0011,"VM rightsize down (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed
BR-0012,"VM rightsize down (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0013,"VM rightsize down (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed
BR-0014,"VM rightsize down (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval
